1	0.501090	0.014	0.219	0.002	0.351	99.69	97.81	99.97	98.32
2	0.251362	0.058	0.325	0.009	0.426	99.00	97.13	99.93	98.24
3	0.126294	1.244	1.726	0.006	0.670	92.08	91.33	99.95	98.21
4	0.063607	6.039	5.458	0.002	0.432	73.67	74.84	99.95	98.09
5	0.032147	12.671	12.223	0.001	0.315	39.26	39.47	99.98	97.87
6	0.016332	7.642	7.357	0.001	0.255	25.77	26.81	99.98	97.57
7	0.008359	4.110	4.107	0.016	0.185	11.15	11.14	99.53	96.85
8	0.004327	2.740	2.729	0.136	0.177	9.75	9.74	95.93	94.98
9	0.002271	2.532	2.526	0.811	0.793	9.75	9.74	73.72	73.93
10	0.001218	2.583	2.579	1.974	1.983	9.75	9.74	29.23	29.55
11	0.000670	2.571	2.569	2.301	2.301	9.75	9.74	11.24	11.35
12	0.000381	2.534	2.532	2.301	2.301	9.75	9.74	11.24	11.35
13	0.000227	2.510	2.507	2.301	2.301	9.75	9.74	11.24	11.35
14	0.000138	2.488	2.486	2.301	2.301	9.75	9.74	11.24	11.35
15	0.000090	2.483	2.481	2.301	2.301	9.75	9.74	11.24	11.35
16	0.000059	2.475	2.473	2.301	2.301	9.75	9.74	11.24	11.35
17	0.000041	2.464	2.463	2.301	2.301	9.75	9.74	11.24	11.35
18	0.000028	2.456	2.454	2.301	2.301	9.75	9.74	11.24	11.35
19	0.000019	2.438	2.437	2.301	2.301	9.75	9.74	11.24	11.35
20	0.000014	2.413	2.411	2.301	2.301	9.75	9.74	11.24	11.35
21	0.000010	2.408	2.406	2.301	2.301	9.75	9.74	11.24	11.35
22	0.000008	2.408	2.406	2.301	2.301	9.75	9.74	11.24	11.35
23	0.000006	2.408	2.406	2.301	2.301	9.75	9.74	11.24	11.35
24	0.000004	2.385	2.383	2.301	2.301	9.75	9.74	11.24	11.35
25	0.000003	2.384	2.383	2.301	2.301	9.75	9.74	11.24	11.35
26	0.000003	2.384	2.383	2.301	2.301	9.75	9.74	11.24	11.35
27	0.000002	2.384	2.383	2.301	2.301	9.75	9.74	11.24	11.35
28	0.000002	2.384	2.383	2.301	2.301	9.75	9.74	11.24	11.35
29	0.000001	2.377	2.376	2.301	2.301	9.75	9.74	11.24	11.35
30	0.000001	2.377	2.376	2.301	2.301	9.75	9.74	11.24	11.35
